,female_percent,male_percent
is a,-100.6308201,56.85301153
is the,-60.07810153,94.2341671
of the,-45.05857615,89.66669471
lives in,-35.29588465,13.10143395
theological seminary,-33.79393211,71.7573951
church in,-29.2880745,70.19483876
on instagram,-18.77440673,1.081769775
husband and,-15.77050165,0.72117985
can find,-15.01952538,3.004916043
a writer,-13.51757284,2.403932834
baptist theological,-9.01171523,29.32798058
professor of,-4.881345749,44.11216751
pastor of,-4.505857615,51.44416265